id x y status inf_cout
1 728 110 SUSCEPTIBLE 0
2 185 805 INFECTED 1
3 824 740 SUSCEPTIBLE 0
4 630 618 INFECTED 1
5 40 620 SUSCEPTIBLE 0
6 763 365 SUSCEPTIBLE 0
7 230 112 INFECTED 1
8 473 412 SUSCEPTIBLE 0
9 14 152 SUSCEPTIBLE 0
10 63 212 SUSCEPTIBLE 0
11 765 651 INFECTED 1
12 116 351 SUSCEPTIBLE 0
13 690 777 SUSCEPTIBLE 0
14 382 480 SUSCEPTIBLE 0
15 871 228 SUSCEPTIBLE 0
16 854 670 SUSCEPTIBLE 0
17 343 279 SUSCEPTIBLE 0
18 304 531 INFECTED 1
19 411 602 SUSCEPTIBLE 0
20 772 127 INFECTED 1
21 609 629 INFECTED 1
22 209 311 INFECTED 1
23 375 274 SUSCEPTIBLE 0
24 467 939 SUSCEPTIBLE 0
25 937 548 INFECTED 1
26 638 123 INFECTED 1
27 544 814 INFECTED 1
28 490 753 SUSCEPTIBLE 0
29 274 388 SUSCEPTIBLE 0
30 960 654 SUSCEPTIBLE 0
31 455 886 INFECTED 1
32 545 20 SUSCEPTIBLE 0
33 888 931 SUSCEPTIBLE 0
34 177 239 SUSCEPTIBLE 0
35 86 525 INFECTED 1
36 41 541 SUSCEPTIBLE 0
37 400 689 SUSCEPTIBLE 0
38 479 610 SUSCEPTIBLE 0
39 458 765 SUSCEPTIBLE 0
40 806 630 SUSCEPTIBLE 0
41 800 410 SUSCEPTIBLE 0
42 168 393 INFECTED 1
43 820 158 SUSCEPTIBLE 0
44 714 398 INFECTED 1
45 223 687 SUSCEPTIBLE 0
46 298 988 SUSCEPTIBLE 0
47 875 420 INFECTED 1
48 297 78 INFECTED 1
49 91 80 SUSCEPTIBLE 0
50 85 155 SUSCEPTIBLE 0
51 313 941 INFECTED 1
52 970 934 SUSCEPTIBLE 0
53 622 766 SUSCEPTIBLE 0
54 773 565 INFECTED 1
55 503 588 SUSCEPTIBLE 0
56 355 25 INFECTED 1
57 925 441 SUSCEPTIBLE 0
58 107 165 INFECTED 1
59 15 193 INFECTED 1
60 267 15 INFECTED 1
61 356 82 SUSCEPTIBLE 0
62 611 569 INFECTED 1
63 163 875 SUSCEPTIBLE 0
64 362 21 INFECTED 1
65 970 844 SUSCEPTIBLE 0
66 877 649 SUSCEPTIBLE 0
67 991 43 SUSCEPTIBLE 0
68 103 74 SUSCEPTIBLE 0
69 48 117 SUSCEPTIBLE 0
70 677 964 SUSCEPTIBLE 0
71 235 131 SUSCEPTIBLE 0
72 870 253 SUSCEPTIBLE 0
73 333 239 INFECTED 1
74 178 8 SUSCEPTIBLE 0
75 743 855 INFECTED 1
76 316 347 SUSCEPTIBLE 0
77 415 251 SUSCEPTIBLE 0
78 154 754 SUSCEPTIBLE 0
79 711 606 SUSCEPTIBLE 0
80 30 583 SUSCEPTIBLE 0
81 604 675 SUSCEPTIBLE 0
82 683 16 INFECTED 1
83 328 484 SUSCEPTIBLE 0
84 59 143 INFECTED 1
85 298 672 SUSCEPTIBLE 0
86 649 736 INFECTED 1
87 646 231 INFECTED 1
88 814 600 INFECTED 1
89 502 830 SUSCEPTIBLE 0
90 977 182 SUSCEPTIBLE 0
91 64 719 SUSCEPTIBLE 0
92 872 448 INFECTED 1
93 463 874 INFECTED 1
94 215 790 SUSCEPTIBLE 0
95 644 527 INFECTED 1
96 168 254 SUSCEPTIBLE 0
97 254 79 SUSCEPTIBLE 0
98 972 197 INFECTED 1
99 917 932 INFECTED 1
100 108 193 SUSCEPTIBLE 0
101 266 77 SUSCEPTIBLE 0
102 403 392 SUSCEPTIBLE 0
103 638 836 SUSCEPTIBLE 0
104 836 919 SUSCEPTIBLE 0
105 389 928 INFECTED 1
106 157 180 INFECTED 1
107 29 98 INFECTED 1
108 105 785 SUSCEPTIBLE 0
109 370 269 SUSCEPTIBLE 0
110 661 387 INFECTED 1
111 6 430 INFECTED 1
112 422 460 INFECTED 1
113 104 506 INFECTED 1
114 922 635 SUSCEPTIBLE 0
115 628 856 SUSCEPTIBLE 0
116 848 250 INFECTED 1
117 595 59 INFECTED 1
118 254 400 SUSCEPTIBLE 0
119 190 210 INFECTED 1
120 897 530 SUSCEPTIBLE 0
121 38 755 SUSCEPTIBLE 0
122 538 764 SUSCEPTIBLE 0
123 718 726 SUSCEPTIBLE 0
124 816 271 INFECTED 1
125 539 961 INFECTED 1
126 81 245 INFECTED 1
127 566 25 INFECTED 1
128 556 542 SUSCEPTIBLE 0
129 333 976 SUSCEPTIBLE 0
130 460 401 INFECTED 1
131 736 190 SUSCEPTIBLE 0
132 798 412 INFECTED 1
133 868 240 SUSCEPTIBLE 0
134 672 978 INFECTED 1
135 4 511 INFECTED 1
136 293 72 SUSCEPTIBLE 0
137 767 236 SUSCEPTIBLE 0
138 359 556 SUSCEPTIBLE 0
139 686 881 SUSCEPTIBLE 0
140 711 83 SUSCEPTIBLE 0
141 933 220 INFECTED 1
142 640 150 SUSCEPTIBLE 0
143 602 14 INFECTED 1
144 310 35 INFECTED 1
145 288 704 SUSCEPTIBLE 0
146 904 519 SUSCEPTIBLE 0
147 789 523 SUSCEPTIBLE 0
148 217 537 SUSCEPTIBLE 0
149 906 717 INFECTED 1
150 715 436 SUSCEPTIBLE 0
151 258 519 SUSCEPTIBLE 0
152 197 65 SUSCEPTIBLE 0
153 769 483 SUSCEPTIBLE 0
154 659 714 INFECTED 1
155 616 548 INFECTED 1
156 565 953 INFECTED 1
157 787 640 SUSCEPTIBLE 0
158 915 474 SUSCEPTIBLE 0
159 749 849 SUSCEPTIBLE 0
160 110 233 INFECTED 1
161 154 362 INFECTED 1
162 795 518 SUSCEPTIBLE 0
163 964 388 INFECTED 1
164 118 690 SUSCEPTIBLE 0
165 508 542 INFECTED 1
166 881 795 SUSCEPTIBLE 0
167 364 340 SUSCEPTIBLE 0
168 108 762 SUSCEPTIBLE 0
169 576 124 INFECTED 1
170 654 802 SUSCEPTIBLE 0
171 857 78 SUSCEPTIBLE 0
172 770 25 INFECTED 1
173 568 466 SUSCEPTIBLE 0
174 463 164 SUSCEPTIBLE 0
175 323 471 SUSCEPTIBLE 0
176 509 667 INFECTED 1
177 510 723 SUSCEPTIBLE 0
178 744 263 SUSCEPTIBLE 0
179 894 558 INFECTED 1
180 303 963 INFECTED 1
181 224 350 SUSCEPTIBLE 0
182 233 791 SUSCEPTIBLE 0
183 485 784 SUSCEPTIBLE 0
184 563 695 SUSCEPTIBLE 0
185 638 151 SUSCEPTIBLE 0
186 122 145 SUSCEPTIBLE 0
187 264 127 INFECTED 1
188 778 581 SUSCEPTIBLE 0
189 931 641 SUSCEPTIBLE 0
190 229 177 INFECTED 1
191 431 734 SUSCEPTIBLE 0
192 150 169 SUSCEPTIBLE 0
193 93 122 SUSCEPTIBLE 0
194 827 118 SUSCEPTIBLE 0
195 855 267 INFECTED 1
196 48 536 INFECTED 1
197 308 349 SUSCEPTIBLE 0
198 268 185 SUSCEPTIBLE 0
199 29 976 INFECTED 1
200 451 378 INFECTED 1
201 177 820 INFECTED 1
202 539 996 SUSCEPTIBLE 0
203 437 194 SUSCEPTIBLE 0
204 936 17 INFECTED 1
205 854 677 INFECTED 1
206 253 401 SUSCEPTIBLE 0
207 534 845 SUSCEPTIBLE 0
208 182 198 INFECTED 1
209 41 803 SUSCEPTIBLE 0
210 92 146 SUSCEPTIBLE 0
211 813 663 SUSCEPTIBLE 0
212 602 641 SUSCEPTIBLE 0
213 320 506 INFECTED 1
214 260 139 INFECTED 1
215 768 195 INFECTED 1
216 722 404 INFECTED 1
217 673 25 SUSCEPTIBLE 0
218 12 413 INFECTED 1
219 246 521 INFECTED 1
220 916 486 SUSCEPTIBLE 0
221 891 522 INFECTED 1
222 173 228 SUSCEPTIBLE 0
223 498 675 SUSCEPTIBLE 0
224 639 654 INFECTED 1
225 590 59 SUSCEPTIBLE 0
226 874 816 INFECTED 1
227 419 349 SUSCEPTIBLE 0
228 836 256 SUSCEPTIBLE 0
229 293 913 SUSCEPTIBLE 0
230 24 490 SUSCEPTIBLE 0
231 579 12 SUSCEPTIBLE 0
232 667 426 INFECTED 1
233 888 264 SUSCEPTIBLE 0
234 513 223 SUSCEPTIBLE 0
235 291 289 INFECTED 1
236 648 380 SUSCEPTIBLE 0
237 847 200 INFECTED 1
238 837 321 INFECTED 1
239 777 53 SUSCEPTIBLE 0
240 870 570 SUSCEPTIBLE 0
241 133 427 SUSCEPTIBLE 0
242 369 160 SUSCEPTIBLE 0
243 118 420 SUSCEPTIBLE 0
244 705 36 INFECTED 1
245 96 653 SUSCEPTIBLE 0
246 379 119 SUSCEPTIBLE 0
247 114 927 INFECTED 1
248 307 613 SUSCEPTIBLE 0
249 42 961 SUSCEPTIBLE 0
250 949 776 SUSCEPTIBLE 0
251 507 578 SUSCEPTIBLE 0
252 618 682 SUSCEPTIBLE 0
253 232 973 SUSCEPTIBLE 0
254 569 991 SUSCEPTIBLE 0
255 676 232 INFECTED 1
256 251 105 SUSCEPTIBLE 0
257 72 949 INFECTED 1
258 726 269 SUSCEPTIBLE 0
259 908 754 SUSCEPTIBLE 0
260 754 916 SUSCEPTIBLE 0
261 471 159 SUSCEPTIBLE 0
262 709 65 INFECTED 1
263 801 904 INFECTED 1
264 590 586 INFECTED 1
265 255 20 INFECTED 1
266 224 440 SUSCEPTIBLE 0
267 533 225 SUSCEPTIBLE 0
268 143 73 SUSCEPTIBLE 0
269 228 261 SUSCEPTIBLE 0
270 45 951 SUSCEPTIBLE 0
271 397 805 SUSCEPTIBLE 0
272 130 778 SUSCEPTIBLE 0
