id x y status inf_cout
1 728 310 SUSCEPTIBLE 1
2 107 805 SUSCEPTIBLE 1
3 68 740 SUSCEPTIBLE 0
4 312 618 SUSCEPTIBLE 1
5 202 620 SUSCEPTIBLE 0
6 763 211 SUSCEPTIBLE 0
7 334 112 SUSCEPTIBLE 1
8 781 412 SUSCEPTIBLE 0
9 14 134 SUSCEPTIBLE 1
10 63 782 SUSCEPTIBLE 0
11 765 525 SUSCEPTIBLE 1
12 568 351 SUSCEPTIBLE 1
13 690 291 SUSCEPTIBLE 0
14 196 480 SUSCEPTIBLE 0
15 451 228 SUSCEPTIBLE 0
16 194 670 SUSCEPTIBLE 0
17 889 279 SUSCEPTIBLE 1
18 304 237 SUSCEPTIBLE 2
19 411 376 SUSCEPTIBLE 0
20 772 203 SUSCEPTIBLE 1
21 609 47 SUSCEPTIBLE 1
22 53 311 SUSCEPTIBLE 1
23 501 274 SUSCEPTIBLE 0
24 673 939 SUSCEPTIBLE 1
25 937 500 SUSCEPTIBLE 1
26 416 123 SUSCEPTIBLE 1
27 544 542 SUSCEPTIBLE 1
28 634 753 SUSCEPTIBLE 0
29 274 202 SUSCEPTIBLE 0
30 612 654 SUSCEPTIBLE 1
31 583 886 SUSCEPTIBLE 1
32 545 964 SUSCEPTIBLE 0
33 888 481 SUSCEPTIBLE 0
34 177 871 SUSCEPTIBLE 0
35 86 225 SUSCEPTIBLE 1
36 937 541 SUSCEPTIBLE 0
37 400 941 SUSCEPTIBLE 0
38 569 610 SUSCEPTIBLE 1
39 776 765 SUSCEPTIBLE 1
40 806 612 SUSCEPTIBLE 0
41 214 410 SUSCEPTIBLE 0
42 168 453 SUSCEPTIBLE 1
43 520 158 SUSCEPTIBLE 0
44 204 398 SUSCEPTIBLE 1
45 487 687 SUSCEPTIBLE 1
46 298 664 SUSCEPTIBLE 0
47 875 966 SUSCEPTIBLE 1
48 297 990 SUSCEPTIBLE 1
49 91 344 SUSCEPTIBLE 0
50 251 155 SUSCEPTIBLE 0
51 313 901 SUSCEPTIBLE 1
52 928 934 SUSCEPTIBLE 2
53 622 982 SUSCEPTIBLE 0
54 773 755 SUSCEPTIBLE 1
55 551 588 SUSCEPTIBLE 1
56 829 25 SUSCEPTIBLE 1
57 925 177 SUSCEPTIBLE 0
58 605 165 SUSCEPTIBLE 1
59 15 203 SUSCEPTIBLE 1
60 267 603 SUSCEPTIBLE 2
61 16 82 SUSCEPTIBLE 2
62 611 773 SUSCEPTIBLE 1
63 71 875 SUSCEPTIBLE 0
64 914 21 SUSCEPTIBLE 1
65 970 676 SUSCEPTIBLE 0
66 877 667 SUSCEPTIBLE 0
67 991 691 SUSCEPTIBLE 0
68 103 962 SUSCEPTIBLE 0
69 894 117 SUSCEPTIBLE 0
70 677 494 SUSCEPTIBLE 0
71 797 131 SUSCEPTIBLE 0
72 870 113 SUSCEPTIBLE 0
73 333 379 SUSCEPTIBLE 1
74 100 8 SUSCEPTIBLE 1
75 127 855 SUSCEPTIBLE 2
76 316 847 SUSCEPTIBLE 1
77 415 533 SUSCEPTIBLE 0
78 668 754 SUSCEPTIBLE 0
79 657 606 SUSCEPTIBLE 1
80 126 583 SUSCEPTIBLE 0
81 652 675 SUSCEPTIBLE 0
82 683 568 SUSCEPTIBLE 1
83 328 662 SUSCEPTIBLE 1
84 665 143 SUSCEPTIBLE 1
85 496 672 SUSCEPTIBLE 0
86 841 736 SUSCEPTIBLE 1
87 884 231 SUSCEPTIBLE 1
88 814 30 SUSCEPTIBLE 1
89 502 254 SUSCEPTIBLE 1
90 367 182 SUSCEPTIBLE 1
91 836 719 SUSCEPTIBLE 1
92 928 448 SUSCEPTIBLE 1
93 745 874 SUSCEPTIBLE 1
94 697 790 SUSCEPTIBLE 0
95 322 527 SUSCEPTIBLE 1
96 486 254 SUSCEPTIBLE 0
97 536 79 SUSCEPTIBLE 0
98 492 197 SUSCEPTIBLE 1
99 917 472 SUSCEPTIBLE 1
100 108 553 SUSCEPTIBLE 0
101 116 77 SUSCEPTIBLE 0
102 949 392 SUSCEPTIBLE 1
103 638 166 SUSCEPTIBLE 0
104 104 919 SUSCEPTIBLE 0
105 635 928 SUSCEPTIBLE 1
106 95 180 SUSCEPTIBLE 1
107 901 98 SUSCEPTIBLE 1
108 105 491 SUSCEPTIBLE 0
109 644 269 SUSCEPTIBLE 0
110 661 273 SUSCEPTIBLE 1
111 6 286 SUSCEPTIBLE 1
112 344 460 SUSCEPTIBLE 1
113 892 506 SUSCEPTIBLE 1
114 254 635 SUSCEPTIBLE 1
115 182 856 SUSCEPTIBLE 0
116 848 994 SUSCEPTIBLE 2
117 581 59 SUSCEPTIBLE 1
118 610 400 SUSCEPTIBLE 0
119 830 210 SUSCEPTIBLE 1
120 567 530 SUSCEPTIBLE 0
121 38 563 SUSCEPTIBLE 1
122 526 764 SUSCEPTIBLE 0
123 934 726 SUSCEPTIBLE 0
124 816 755 SUSCEPTIBLE 1
125 355 961 SUSCEPTIBLE 1
126 81 185 SUSCEPTIBLE 2
127 826 25 SUSCEPTIBLE 1
128 556 830 SUSCEPTIBLE 1
129 987 976 SUSCEPTIBLE 0
130 460 593 SUSCEPTIBLE 2
131 736 818 SUSCEPTIBLE 0
132 798 202 SUSCEPTIBLE 1
133 410 240 SUSCEPTIBLE 1
134 222 978 SUSCEPTIBLE 1
135 4 289 SUSCEPTIBLE 1
136 211 72 SUSCEPTIBLE 1
137 767 296 SUSCEPTIBLE 0
138 359 452 SUSCEPTIBLE 1
139 686 353 SUSCEPTIBLE 0
140 711 499 SUSCEPTIBLE 0
141 933 610 SUSCEPTIBLE 1
142 988 150 SUSCEPTIBLE 0
143 602 88 SUSCEPTIBLE 1
144 884 35 SUSCEPTIBLE 1
145 150 704 SUSCEPTIBLE 1
146 346 519 SUSCEPTIBLE 0
147 9 523 SUSCEPTIBLE 0
148 217 147 SUSCEPTIBLE 0
149 84 717 SUSCEPTIBLE 1
150 971 436 SUSCEPTIBLE 1
151 300 519 SUSCEPTIBLE 1
152 745 65 SUSCEPTIBLE 1
153 769 525 SUSCEPTIBLE 1
154 197 714 SUSCEPTIBLE 1
155 524 548 SUSCEPTIBLE 1
156 565 875 SUSCEPTIBLE 1
157 767 640 SUSCEPTIBLE 0
158 867 474 SUSCEPTIBLE 0
159 67 849 SUSCEPTIBLE 1
160 658 233 SUSCEPTIBLE 1
161 220 362 SUSCEPTIBLE 3
162 795 716 SUSCEPTIBLE 1
163 316 388 SUSCEPTIBLE 1
164 188 690 SUSCEPTIBLE 0
165 664 542 SUSCEPTIBLE 2
166 707 795 SUSCEPTIBLE 1
167 364 928 SUSCEPTIBLE 0
168 108 90 SUSCEPTIBLE 0
169 18 124 SUSCEPTIBLE 1
170 342 802 SUSCEPTIBLE 0
171 967 78 SUSCEPTIBLE 1
172 730 25 SUSCEPTIBLE 1
173 568 616 SUSCEPTIBLE 1
174 463 82 SUSCEPTIBLE 0
175 889 471 SUSCEPTIBLE 0
176 383 667 SUSCEPTIBLE 1
177 510 525 SUSCEPTIBLE 0
178 744 751 SUSCEPTIBLE 0
179 846 558 SUSCEPTIBLE 1
180 303 351 SUSCEPTIBLE 1
181 850 350 SUSCEPTIBLE 0
182 233 185 SUSCEPTIBLE 1
183 469 784 SUSCEPTIBLE 0
184 269 695 SUSCEPTIBLE 2
185 638 197 SUSCEPTIBLE 0
186 122 775 SUSCEPTIBLE 1
187 264 493 SUSCEPTIBLE 1
188 64 581 SUSCEPTIBLE 0
189 931 799 SUSCEPTIBLE 0
190 241 177 SUSCEPTIBLE 1
191 613 734 SUSCEPTIBLE 0
192 150 395 SUSCEPTIBLE 0
193 63 122 SUSCEPTIBLE 0
194 827 74 SUSCEPTIBLE 2
195 855 207 SUSCEPTIBLE 1
196 150 536 SUSCEPTIBLE 1
197 308 655 SUSCEPTIBLE 0
198 268 385 SUSCEPTIBLE 0
199 29 520 SUSCEPTIBLE 1
200 451 846 SUSCEPTIBLE 1
201 177 154 SUSCEPTIBLE 1
202 539 156 SUSCEPTIBLE 0
203 523 194 SUSCEPTIBLE 0
204 282 17 SUSCEPTIBLE 1
205 406 677 SUSCEPTIBLE 2
206 253 527 SUSCEPTIBLE 0
207 534 845 SUSCEPTIBLE 0
208 182 180 SUSCEPTIBLE 1
209 41 113 SUSCEPTIBLE 0
210 92 500 SUSCEPTIBLE 0
211 813 417 SUSCEPTIBLE 1
212 400 641 SUSCEPTIBLE 0
213 320 182 SUSCEPTIBLE 1
214 352 139 SUSCEPTIBLE 2
215 930 195 SUSCEPTIBLE 1
216 484 404 SUSCEPTIBLE 1
217 673 569 SUSCEPTIBLE 0
218 792 413 SUSCEPTIBLE 1
219 36 521 SUSCEPTIBLE 1
220 932 486 SUSCEPTIBLE 0
221 801 522 SUSCEPTIBLE 2
222 539 228 SUSCEPTIBLE 1
223 768 675 SUSCEPTIBLE 1
224 759 654 SUSCEPTIBLE 1
225 830 59 SUSCEPTIBLE 0
226 926 816 SUSCEPTIBLE 1
227 649 349 SUSCEPTIBLE 1
228 836 896 SUSCEPTIBLE 0
229 293 325 SUSCEPTIBLE 1
230 24 566 SUSCEPTIBLE 1
231 909 12 SUSCEPTIBLE 1
232 667 624 SUSCEPTIBLE 1
233 54 264 SUSCEPTIBLE 0
234 471 223 SUSCEPTIBLE 0
235 291 691 SUSCEPTIBLE 1
236 870 380 SUSCEPTIBLE 1
237 79 200 SUSCEPTIBLE 1
238 837 585 SUSCEPTIBLE 1
239 747 53 SUSCEPTIBLE 2
240 510 570 SUSCEPTIBLE 0
241 881 427 SUSCEPTIBLE 0
242 369 2 SUSCEPTIBLE 1
243 118 942 SUSCEPTIBLE 0
244 93 36 SUSCEPTIBLE 2
245 192 653 SUSCEPTIBLE 1
246 379 41 SUSCEPTIBLE 0
247 420 927 SUSCEPTIBLE 1
248 451 613 SUSCEPTIBLE 0
249 42 5 SUSCEPTIBLE 0
250 59 776 SUSCEPTIBLE 0
251 507 418 SUSCEPTIBLE 0
252 618 736 SUSCEPTIBLE 0
253 232 383 SUSCEPTIBLE 0
254 569 187 SUSCEPTIBLE 0
255 676 250 SUSCEPTIBLE 1
256 379 105 SUSCEPTIBLE 1
257 342 949 SUSCEPTIBLE 1
258 726 887 SUSCEPTIBLE 0
259 280 754 SUSCEPTIBLE 1
260 272 916 SUSCEPTIBLE 0
261 471 627 SUSCEPTIBLE 1
262 859 65 SUSCEPTIBLE 2
263 945 904 SUSCEPTIBLE 1
264 844 586 SUSCEPTIBLE 1
265 255 602 SUSCEPTIBLE 1
266 224 16 SUSCEPTIBLE 1
267 575 225 SUSCEPTIBLE 0
268 143 313 SUSCEPTIBLE 0
269 366 261 SUSCEPTIBLE 0
270 45 681 SUSCEPTIBLE 1
271 397 91 SUSCEPTIBLE 0
272 86 778 SUSCEPTIBLE 0
273 74 540 SUSCEPTIBLE 0
274 415 715 SUSCEPTIBLE 1
275 331 55 SUSCEPTIBLE 1
276 875 688 SUSCEPTIBLE 0
277 668 723 SUSCEPTIBLE 1
